Near field
"Phi"[deg]	"MLFMM_Sphere2_Scat_Field [dBV/m]"	"Sphere2_Scat_Field [dBV/m]"	
2.16000000E+02	-3.26428073E+00	-3.60596859E+00	
2.16500000E+02	-3.58288637E+00	-4.25832208E+00	
2.17000000E+02	-3.89788080E+00	-5.16724431E+00	
2.17500000E+02	-4.21265281E+00	-6.00532713E+00	
2.18000000E+02	-4.52330340E+00	-6.37511085E+00	
2.18500000E+02	-4.84398457E+00	-6.24737181E+00	
2.19000000E+02	-5.20202951E+00	-6.02220712E+00	
2.19500000E+02	-5.60099126E+00	-6.10030613E+00	
2.20000000E+02	-6.00527671E+00	-6.68876543E+00	
2.20500000E+02	-6.37255696E+00	-7.81644894E+00	
2.21000000E+02	-6.71247314E+00	-9.25869841E+00	
2.21500000E+02	-7.07155660E+00	-1.03403356E+01	
2.22000000E+02	-7.46971711E+00	-1.03539528E+01	
2.22500000E+02	-7.86528898E+00	-9.66110468E+00	
2.23000000E+02	-8.19561082E+00	-9.09275581E+00	
2.23500000E+02	-8.44811179E+00	-9.05561399E+00	
2.24000000E+02	-8.67111575E+00	-9.60859214E+00	
2.24500000E+02	-8.91513963E+00	-1.05720461E+01	
2.25000000E+02	-9.18263735E+00	-1.14543126E+01	
2.25500000E+02	-9.42931810E+00	-1.16385809E+01	
2.26000000E+02	-9.60345243E+00	-1.11442377E+01	
2.26500000E+02	-9.69354354E+00	-1.05886219E+01	
2.27000000E+02	-9.74923886E+00	-1.04323521E+01	
2.27500000E+02	-9.85259106E+00	-1.08273759E+01	
2.28000000E+02	-1.00593838E+01	-1.17056301E+01	
2.28500000E+02	-1.03569845E+01	-1.27294566E+01	
2.29000000E+02	-1.06748374E+01	-1.32699556E+01	
2.29500000E+02	-1.09508638E+01	-1.29842563E+01	
2.30000000E+02	-1.11908763E+01	-1.23194896E+01	
